time,open,high,low,close,tick_volume,line_y,point_y,signal
2025-01-03 18:30:00,157.335,157.338,157.195,157.212,1197,157.23528571428574,157.484,
2025-01-03 18:45:00,157.211,157.276,157.19,157.193,913,157.23285714285714,157.47822000000002,sell
2025-01-03 19:00:00,157.193,157.199,156.903,156.93,1546,157.21842857142857,157.4666912,
2025-01-03 19:15:00,156.932,156.987,156.864,156.94,1014,157.20609523809523,157.43286972800001,
2025-01-03 19:30:00,156.94,157.08,156.932,157.079,1083,157.20514285714285,157.38736014976,
2025-01-03 19:45:00,157.081,157.172,157.069,157.157,1269,157.2084761904762,157.3454913377792,
2025-01-03 20:00:00,157.156,157.229,157.154,157.166,765,157.20914285714287,157.30697203075687,
2025-01-03 20:15:00,157.166,157.194,157.116,157.134,827,157.20980952380955,157.2715342682963,
2025-01-03 20:30:00,157.133,157.148,157.095,157.114,515,157.2074761904762,157.2389315268326,
2025-01-03 20:45:00,157.115,157.187,157.112,157.153,461,157.20742857142858,157.208937004686,
2025-01-03 21:00:00,157.152,157.18,157.103,157.127,507,157.2052857142857,157.187,
2025-01-03 21:15:00,157.127,157.129,157.094,157.105,692,157.19961904761905,157.187,
2025-01-03 21:30:00,157.109,157.145,157.094,157.126,421,157.19338095238095,157.18,
2025-01-03 21:45:00,157.126,157.215,157.123,157.193,711,157.19209523809525,,buy
2025-01-03 22:00:00,157.193,157.231,157.15,157.15,708,157.1962857142857,,
2025-01-03 22:15:00,157.15,157.158,157.128,157.154,504,157.1837142857143,,
2025-01-03 22:30:00,157.153,157.27,157.129,157.262,750,157.1761904761905,,
2025-01-03 22:45:00,157.261,157.344,157.244,157.329,837,157.17242857142858,,
2025-01-03 23:00:00,157.328,157.352,157.261,157.352,429,157.17057142857144,,
2025-01-03 23:15:00,157.352,157.354,157.316,157.325,426,157.16838095238094,,
2025-01-03 23:30:00,157.323,157.362,157.315,157.32,421,157.16766666666666,,
2025-01-03 23:45:00,157.322,157.324,157.225,157.249,438,157.16942857142857,,
2025-01-06 00:00:00,157.142,157.205,157.142,157.204,17,157.1699523809524,,
2025-01-06 00:15:00,157.204,157.222,157.178,157.204,68,157.183,,
2025-01-06 00:30:00,157.205,157.229,157.176,157.221,89,157.19638095238093,,
2025-01-06 00:45:00,157.221,157.367,157.198,157.312,501,157.2074761904762,,
2025-01-06 01:00:00,157.318,157.499,157.315,157.494,520,157.2235238095238,,
2025-01-06 01:15:00,157.492,157.511,157.422,157.424,1152,157.2358095238095,,
2025-01-06 01:30:00,157.424,157.459,157.389,157.418,931,157.24933333333334,,
2025-01-06 01:45:00,157.418,157.517,157.412,157.493,803,157.26738095238096,,
2025-01-06 02:00:00,157.504,157.7,157.487,157.687,1515,157.29280952380952,,
2025-01-06 02:15:00,157.688,157.743,157.626,157.715,1475,157.32080952380952,,
2025-01-06 02:30:00,157.715,157.82,157.708,157.745,1615,157.35128571428572,,
2025-01-06 02:45:00,157.745,157.795,157.505,157.578,2067,157.3728095238095,157.82,
2025-01-06 03:00:00,157.58,157.643,157.477,157.535,1498,157.38909523809525,157.82,
2025-01-06 03:15:00,157.534,157.607,157.474,157.589,1493,157.41,157.80628,
2025-01-06 03:30:00,157.589,157.649,157.548,157.623,1302,157.43233333333333,157.78634319999998,
2025-01-06 03:45:00,157.623,157.661,157.548,157.605,1136,157.44866666666667,157.76760260799998,
2025-01-06 04:00:00,157.607,157.626,157.56,157.59,1154,157.46109523809523,157.74998645152,
2025-01-06 04:15:00,157.594,157.68,157.556,157.649,1226,157.47523809523813,157.7334272644288,
2025-01-06 04:30:00,157.648,157.763,157.646,157.723,1020,157.49419047619048,,
2025-01-06 04:45:00,157.724,157.748,157.673,157.707,1326,157.51261904761904,,
2025-01-06 05:00:00,157.705,157.742,157.644,157.685,1213,157.53338095238095,,
2025-01-06 05:15:00,157.686,157.722,157.663,157.669,1020,157.5555238095238,,sell
2025-01-06 05:30:00,157.668,157.759,157.646,157.75,1211,157.58152380952382,,
2025-01-06 05:45:00,157.749,157.777,157.694,157.703,1088,157.6044761904762,,sell
2025-01-06 06:00:00,157.704,157.743,157.672,157.706,1134,157.6232380952381,,
2025-01-06 06:15:00,157.706,157.719,157.645,157.704,999,157.6332380952381,,
2025-01-06 06:30:00,157.704,157.727,157.67,157.683,767,157.64557142857143,,
2025-01-06 06:45:00,157.682,157.719,157.682,157.711,557,157.65952380952382,,
2025-01-06 07:00:00,157.712,157.752,157.664,157.75,963,157.6717619047619,,
